Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
shell1,"-0,137752474041725","-0,28857138668512","-0,0911551999213709",0,0,0,"0,149969789596091","0,000241116455312842","-2,60925021680345E-07","4,80846729441766E-06","0,000295272937582447","-7,25953669690205E-06","0,000232451898515766",0,0,0,0,0,0,package://modulessai/meshes/shell1.STL,"0,184313725490196","0,623529411764706","0,764705882352941",1,0,0,0,0,0,0,package://modulessai/meshes/shell1.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Serpens_Shell_02C.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
joint_enclosure1,"0,000728105326579437","0,0153717427480426","-1,38777878078145E-17",0,0,0,"0,086298769218844","9,26816517396861E-05","-4,43711727546318E-07","-2,90469731967602E-19","0,000134079311341853","2,76344499041715E-20","8,33584269751399E-05",0,0,0,0,0,0,package://modulessai/meshes/joint_enclosure1.STL,1,1,0,1,0,0,0,0,0,0,package://modulessai/meshes/joint_enclosure1.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Serpens_JointEnclosure_02C.stp-1,Origin_link1,Axis_link1,link1,fixed,"-0,138611885720108","0,0874338259129821","-0,339597997361827","-1,55293238419691",0,"-3,14159265358979",shell1,0,0,0,,,,,,,,,,,,
scale1,"0,00180494203523468","0,00171959315377845","2,77555756156289E-17",0,0,0,"0,00277406773557276","1,47877580081592E-06","-6,2959094439328E-09","4,52157602336799E-22","1,54068706060032E-06","-2,20276646159223E-20","6,9326362321011E-08",0,0,0,0,0,0,package://modulessai/meshes/scale1.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale1.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Scales_05B.stp-8,Origin_link2,Axis_link2,link2,fixed,"-0,183611885720101","0,0876577175390072","-0,323751468327803",0,"-1,5529323841969","1,5707963267949",shell1,0,0,0,,,,,,,,,,,,
scale2,"0,00180494203523462","0,00171959315377848","-2,77555756156289E-17",0,0,0,"0,00277406773557276","1,47877580081592E-06","-6,29590944393272E-09","1,75019022698003E-21","1,54068706060031E-06","7,86684050294891E-22","6,93263623210111E-08",0,0,0,0,0,0,package://modulessai/meshes/scale2.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale2.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Scales_05B.stp-1,Origin_link3,Axis_link3,link3,fixed,"-0,138611885720103","0,0426648975580864","-0,32294763366583","1,5707963267944","-1,55293238419692","1,57079632679536",shell1,0,0,0,,,,,,,,,,,,
scale3,"0,00180494203523474","0,00171959315377847","-1,38777878078145E-17",0,0,0,"0,00277406773557275","1,47877580081591E-06","-6,29590944393247E-09","1,15288297874578E-22","1,54068706060031E-06","3,17440826385798E-22","6,93263623210108E-08",0,0,0,0,0,0,package://modulessai/meshes/scale3.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale3.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Scales_05B.stp-3,Origin_link4,Axis_link4,link4,fixed,"-0,0936118857201089","0,0876577175390119","-0,323751468327802","3,14159265358979","-1,5529323841969","1,57079632679488",shell1,0,0,0,,,,,,,,,,,,
scale4,"0,00180494203523468","0,00171959315377848",0,0,0,0,"0,00277406773557275","1,47877580081592E-06","-6,29590944393258E-09","-1,96229555091384E-21","1,54068706060032E-06","8,4361466844145E-22","6,93263623210107E-08",0,0,0,0,0,0,package://modulessai/meshes/scale4.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale4.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Scales_05B.stp-5,Origin_link5,Axis_link5,link5,fixed,"-0,138611885720101","0,132650537519933","-0,324555302989774","-1,57079632679539","-1,55293238419692","1,57079632679536",shell1,0,0,0,,,,,,,,,,,,
slide_clip1,"0,0234487598891086","0,00135531493757457","-0,00207575724154209",0,0,0,"0,00341955141627611","2,23045867605256E-07","-3,49967441924723E-08","-2,11254063898286E-07","1,45766429318795E-06","-1,44678561290794E-08","1,47815966491544E-06",0,0,0,0,0,0,package://modulessai/meshes/slide_clip1.STL,"0,298039215686275","0,6","0,23921568627451",1,0,0,0,0,0,0,package://modulessai/meshes/slide_clip1.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Serpens_Slide ClipR02A.stp-1,Origin_link6,Axis_link6,link6,fixed,"-0,0956118857201107","0,045837319628965","-0,257341834819973","1,5707963267949","0,0178639425979808","1,57079632679487",shell1,0,0,0,,,,,,,,,,,,
slide_clip2,"0,0234487598891086","-0,00135531493757463","-0,00207575724154208",0,0,0,"0,0034195514162761","2,23045867605256E-07","3,49967441924725E-08","-2,11254063898287E-07","1,45766429318795E-06","1,44678561290795E-08","1,47815966491544E-06",0,0,0,0,0,0,package://modulessai/meshes/slide_clip2.STL,"0,298039215686275","0,6","0,23921568627451",1,0,0,0,0,0,0,package://modulessai/meshes/slide_clip2.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Serpens_Slide ClipL02A.stp-1,Origin_link7,Axis_link7,link7,fixed,"-0,181611885720103","0,0458373196289683","-0,257341834819973","-1,5707963267949","0,0178639425979808","1,57079632679487",shell1,0,0,0,,,,,,,,,,,,
slide_arm,"-1,38777878078145E-16","-0,00481240110658876","0,0117181257665583",0,0,0,"0,0348117344572538","9,03849739921105E-06","-5,3280430666022E-20","-3,97812755362216E-19","4,17590858992555E-05","5,70343658389085E-08","3,49135501039211E-05",0,0,0,0,0,0,package://modulessai/meshes/slide_arm.STL,"0,858823529411765","0,568627450980392","0,215686274509804",1,0,0,0,0,0,0,package://modulessai/meshes/slide_arm.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Serpens_Slide Arm02A.stp-1,Origin_link8,Axis_link8,link8,fixed,"0,0429999999999996","-0,0104999999999987","-0,0430000000000005","3,14159265358979","1,5707963267949",0,slide_clip2,0,0,0,,,,,,,,,,,,
slide_key,"-2,77555756156289E-17","0,0261791873249705","0,000493743649983239",0,0,0,"0,0788872703821433","9,11147019581268E-05","-8,87335562729999E-20","-1,30304976498355E-19","0,000144612810542726","-1,56020046014635E-06","7,99530497194302E-05",0,0,0,0,0,0,package://modulessai/meshes/slide_key.STL,"0,807843137254902","0,509803921568627","0,729411764705882",1,0,0,0,0,0,0,package://modulessai/meshes/slide_key.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Serpens_Slide Key02B.stp-1,Origin_link9,Axis_link9,link9,fixed,"-0,138611885720102","0,0896074988950939","-0,214616884182071","-1,5529323841969",0,"-3,14159265358979",shell1,0,0,0,,,,,,,,,,,,
scale5,"0,00180494203523471","0,00171959315377845","1,38777878078145E-17",0,0,0,"0,00277406773557275","1,47877580081591E-06","-6,29590944393263E-09","-1,90768528770042E-22","1,54068706060031E-06","-2,19860333819092E-20","6,93263623210107E-08",0,0,0,0,0,0,package://modulessai/meshes/scale5.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale5.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Scales_05B.stp-7,Origin_link10,Axis_link10,link10,fixed,"0,044999999999999","-0,00142400000000018",0,0,0,"-1,5707963267949",slide_key,0,0,0,,,,,,,,,,,,
scale6,"0,00180494203523471","0,00171959315377847","2,77555756156289E-17",0,0,0,"0,00277406773557275","1,47877580081592E-06","-6,29590944393274E-09","2,27643895219469E-21","1,54068706060031E-06","-1,72724543618611E-21","6,93263623210109E-08",0,0,0,0,0,0,package://modulessai/meshes/scale6.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale6.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Scales_05B.stp-2,Origin_link11,Axis_link11,link11,fixed,0,"-0,0014240000000004","0,045","1,57079632679488",0,"-1,57079632679489",slide_key,0,0,0,,,,,,,,,,,,
scale7,"0,00180494203523471","0,00171959315377847",0,0,0,0,"0,00277406773557276","1,47877580081592E-06","-6,29590944393265E-09","5,6351679230175E-23","1,54068706060032E-06","5,21173611065069E-22","6,93263623210111E-08",0,0,0,0,0,0,package://modulessai/meshes/scale7.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale7.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Scales_05B.stp-4,Origin_link12,Axis_link12,link12,fixed,"-0,045","-0,00142399999999981",0,"3,14159265358978",0,"-1,5707963267949",slide_key,0,0,0,,,,,,,,,,,,
scale8,"0,00180494203523471","0,00171959315377848",0,0,0,0,"0,00277406773557276","1,47877580081592E-06","-6,29590944393263E-09","-2,66115800927088E-21","1,54068706060032E-06","-1,7881667874025E-21","6,93263623210113E-08",0,0,0,0,0,0,package://modulessai/meshes/scale8.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale8.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Scales_05B.stp-6,Origin_link13,Axis_link13,link13,fixed,0,"-0,00142400000000062","-0,044999999999999","-1,57079632679491",0,"-1,57079632679489",slide_key,0,0,0,,,,,,,,,,,,
slide_key_joint1,"-0,00611883580857539","0,0105253613332661","-8,32667268468867E-17",0,0,0,"0,139120636589193","0,00011952290446569","2,35906411700336E-05","-2,96355652420615E-19","0,0001952269452155","3,30131091192364E-19","0,000137197507218594",0,0,0,0,0,0,package://modulessai/meshes/slide_key_joint1.STL,"0,552941176470588","0,549019607843137","0,890196078431372",1,0,0,0,0,0,0,package://modulessai/meshes/slide_key_joint1.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Serpens_Slide Key_Joint02C.stp-1,Origin_link14,Axis_link14,link14,fixed,0,0,0,0,0,"3,14159265358969",slide_key,0,0,0,,,,,,,,,,,,
joint_enclosure2,"0,000728105326579465","0,0153717427480425",0,0,0,0,"0,0862987692188441","9,26816517396861E-05","-4,43711727546301E-07","-1,34701800953061E-19","0,000134079311341853","4,95646481478354E-21","8,33584269751398E-05",0,0,0,0,0,0,package://modulessai/meshes/joint_enclosure2.STL,1,1,0,1,0,0,0,0,0,0,package://modulessai/meshes/joint_enclosure2.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Serpens_JointEnclosure_02C.stp-1,Origin_link16,Axis_link16,link16,fixed,0,"0,0837468487694076","0,00035279410164156","-0,0178639425979842",0,"-3,14159265358969",slide_key_joint1,0,0,0,,,,,,,,,,,,
shell2,"-0,00085941167838019","-0,00286850280401474","0,00708494395182878",0,0,0,"0,149969789596091","0,000241116455312841","-4,80303917300663E-06","3,46777004692976E-07","0,000232212631143815","-6,13291115683898E-06","0,000295512204954397",0,0,0,0,0,0,package://modulessai/meshes/shell2.STL,"0,184313725490196","0,623529411764706","0,764705882352941",1,0,0,0,0,0,0,package://modulessai/meshes/shell2.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Serpens_Shell_02C.stp-1,Origin_link17,Axis_link17,link17,fixed,0,"-0,043999999999996","5,92105263200055E-05","1,57079632679491",0,0,joint_enclosure2,0,0,0,,,,,,,,,,,,
scale9,"0,00180494203523471","0,00171959315377848","8,32667268468867E-17",0,0,0,"0,00277406773557275","1,47877580081591E-06","-6,2959094439327E-09","-1,19189599054522E-22","1,54068706060031E-06","-1,4793884274204E-21","6,93263623210108E-08",0,0,0,0,0,0,package://modulessai/meshes/scale9.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale9.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Scales_05B.stp-5,Origin_link18,Axis_link18,link18,fixed,0,"-0,0449999999999954","-0,0281519999999963",0,"-1,5707963267949",0,shell2,0,0,0,,,,,,,,,,,,
scale10,"0,00180494203523469","0,00171959315377848","1,38777878078145E-17",0,0,0,"0,00277406773557276","1,47877580081592E-06","-6,29590944393266E-09","2,10183701632039E-20","1,54068706060032E-06","-1,03458240094092E-22","6,93263623210108E-08",0,0,0,0,0,0,package://modulessai/meshes/scale10.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale10.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Scales_05B.stp-3,Origin_link19,Axis_link19,link19,fixed,"-0,0449999999999958",0,"-0,0281519999999962","1,5707963267949","-1,5707963267949",0,shell2,0,0,0,,,,,,,,,,,,
scale11,"0,00180494203523468","0,00171959315377847","-2,77555756156289E-17",0,0,0,"0,00277406773557276","1,47877580081592E-06","-6,29590944393265E-09","7,07386108021792E-22","1,54068706060031E-06","-1,70248478291909E-21","6,9326362321011E-08",0,0,0,0,0,0,package://modulessai/meshes/scale11.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale11.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Scales_05B.stp-1,Origin_link20,Axis_link20,link20,fixed,0,"0,0449999999999946","-0,0281519999999967","3,14159265358979","-1,5707963267949",0,shell2,0,0,0,,,,,,,,,,,,
scale12,"0,00180494203523472","0,00171959315377851","-1,38777878078145E-17",0,0,0,"0,00277406773557276","1,47877580081592E-06","-6,29590944393267E-09","-2,11549896033941E-20","1,54068706060032E-06","9,56655464085523E-23","6,93263623210111E-08",0,0,0,0,0,0,package://modulessai/meshes/scale12.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale12.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Scales_05B.stp-8,Origin_link21,Axis_link21,link21,fixed,"0,0449999999999962",0,"-0,0281519999999967","1,5707963267949","-1,5707963267949",0,shell2,0,0,0,,,,,,,,,,,,
slide_clip3,"0,0234487598891084","-0,0013553149375747","-0,00207575724154238",0,0,0,"0,0034195514162761","2,23045867605252E-07","3,49967441924773E-08","-2,11254063898272E-07","1,45766429318795E-06","1,44678561290803E-08","1,47815966491544E-06",0,0,0,0,0,0,package://modulessai/meshes/slide_clip3.STL,"0,298039215686275","0,6","0,23921568627451",1,0,0,0,0,0,0,package://modulessai/meshes/slide_clip3.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Serpens_Slide ClipL02A.stp-1,Origin_link22,Axis_link22,link22,fixed,"0,0429999999999968","0,0429999999999946","0,0374999999999956","-1,57079632679489",0,"-1,5707963267949",shell2,0,0,0,,,,,,,,,,,,
slide_arm2,"-2,77555756156289E-17","-0,00481240110658882","0,0117181257665583",0,0,0,"0,0348117344572539","9,03849739921106E-06","8,81047252945334E-22","2,87950685439692E-21","4,17590858992556E-05","5,70343658389088E-08","3,49135501039212E-05",0,0,0,0,0,0,package://modulessai/meshes/slide_arm2.STL,"0,858823529411765","0,568627450980392","0,215686274509804",1,0,0,0,0,0,0,package://modulessai/meshes/slide_arm2.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Serpens_Slide Arm02A.stp-1,Origin_link24,Axis_link24,link24,fixed,"0,042999999999999","-0,010499999999999","-0,043000000000001","3,14159265358979","1,5707963267949",0,slide_clip3,0,0,0,,,,,,,,,,,,
slide_clip4,"0,0234487598891085","0,00135531493757467","-0,00207575724154178",0,0,0,"0,00341955141627611","2,23045867605264E-07","-3,49967441924764E-08","-2,11254063898307E-07","1,45766429318795E-06","-1,44678561290807E-08","1,47815966491544E-06",0,0,0,0,0,0,package://modulessai/meshes/slide_clip4.STL,"0,298039215686275","0,6","0,23921568627451",1,0,0,0,0,0,0,package://modulessai/meshes/slide_clip4.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Serpens_Slide ClipR02A.stp-1,Origin_link23,Axis_link23,link23,fixed,"-0,0429999999999952","0,0429999999999966","0,0374999999999941","1,5707963267949",0,"-1,5707963267949",shell2,0,0,0,,,,,,,,,,,,
slide_key2,0,"0,0261791873249705","0,000493743649983586",0,0,0,"0,0788872703821434","9,11147019581269E-05","5,42290601080777E-20","-9,93327290134446E-21","0,000144612810542726","-1,56020046014546E-06","7,99530497194301E-05",0,0,0,0,0,0,package://modulessai/meshes/slide_key2.STL,"0,807843137254902","0,509803921568627","0,729411764705882",1,0,0,0,0,0,0,package://modulessai/meshes/slide_key2.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Serpens_Slide Key02B.stp-1,Origin_link25,Axis_link25,link25,fixed,0,0,"0,080999999999995","-1,57079632679491",0,0,shell2,0,0,0,,,,,,,,,,,,
slide_key_joint_2,"-0,00611883580857434","0,0105253613332667","1,38777878078145E-17",0,0,0,"0,139120636589193","0,000119522904465695","2,35906411700413E-05","-1,00524664473982E-20","0,000195226945215495","1,40316547446192E-20","0,000137197507218594",0,0,0,0,0,0,package://modulessai/meshes/slide_key_joint_2.STL,"0,552941176470588","0,549019607843137","0,890196078431372",1,0,0,0,0,0,0,package://modulessai/meshes/slide_key_joint_2.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Serpens_Slide Key_Joint02C.stp-1,Origin_link26,Axis_link26,link26,fixed,0,0,0,0,0,"3,14159265358979",slide_key2,0,0,0,,,,,,,,,,,,
Slide_key_joint_single2,"-5,13478148889135E-16","-0,00400640060057854","-0,0345669419794044",0,0,0,"0,0205196549446732","8,52952925068962E-06","-1,1796237736564E-22","-9,24303762246536E-20","1,06743834501377E-05","-1,03900638216467E-08","2,36373305241899E-06",0,0,0,0,0,0,package://modulessai/meshes/Slide_key_joint_single2.STL,"0,501960784313725","0,266666666666667","0,568627450980392",1,0,0,0,0,0,0,package://modulessai/meshes/Slide_key_joint_single2.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Serpens_Slide Key_Joint_single part02A.stp-1,Origin_link27,Axis_link27,link27,fixed,"-0,037000000000001","-0,00399999999999978",0,"1,57079632679489","-1,5707963267949",0,slide_key2,0,0,0,,,,,,,,,,,,
scale13,"0,00180494203523469","0,00171959315377851","-1,38777878078145E-17",0,0,0,"0,00277406773557275","1,47877580081592E-06","-6,29590944393261E-09","-2,09284346520812E-20","1,54068706060031E-06","2,69114495593736E-22","6,9326362321011E-08",0,0,0,0,0,0,package://modulessai/meshes/scale13.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale13.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Scales_05B.stp-7,Origin_link28,Axis_link28,link28,fixed,"0,044999999999999","-0,00142400000000024",0,0,0,"-1,5707963267949",slide_key2,0,0,0,,,,,,,,,,,,
scale14,"0,00180494203523469","0,00171959315377851","-5,55111512312578E-17",0,0,0,"0,00277406773557275","1,47877580081591E-06","-6,29590944393349E-09","-1,25256798902654E-21","1,54068706060031E-06","-1,14939785423686E-22","6,93263623210107E-08",0,0,0,0,0,0,package://modulessai/meshes/scale14.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale14.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Scales_05B.stp-6,Origin_link29,Axis_link29,link29,fixed,0,"-0,00142399999999999","-0,044999999999999","-1,5707963267949",0,"-1,5707963267949",slide_key2,0,0,0,,,,,,,,,,,,
scale15,"-0,00077105796476532","0,00971959315377746","0,00999999999999904",0,0,0,"0,00277406773557276","1,47877580081592E-06","-6,29590944393266E-09","2,12473742267117E-20","1,54068706060032E-06","-2,53199139789704E-23","6,9326362321011E-08",0,0,0,0,0,0,package://modulessai/meshes/scale15.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale15.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Scales_05B.stp-4,Origin_link30,Axis_link30,link30,fixed,"-0,037000000000001","-0,00399999999999978","0,01","3,14159265358979",0,"-1,5707963267949",slide_key2,0,0,0,,,,,,,,,,,,
scale16,"0,00180494203523472","0,00171959315377845","-2,77555756156289E-17",0,0,0,"0,00277406773557275","1,47877580081592E-06","-6,29590944393176E-09","7,09110049336236E-22","1,54068706060031E-06","-9,12836785751222E-24","6,93263623210107E-08",0,0,0,0,0,0,package://modulessai/meshes/scale16.STL,"0,717647058823529","0,819607843137255","0,701960784313725",1,0,0,0,0,0,0,package://modulessai/meshes/scale16.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-1/EPS_Scales_05B.stp-2,Origin_link31,Axis_link31,link31,fixed,0,"-0,00142400000000099","0,045","1,5707963267949",0,"-1,5707963267949",slide_key2,0,0,0,,,,,,,,,,,,
Slide_key_joint_single1,"-1,94289029309402E-16","0,0040064006005785","0,0345669419794044",0,0,0,"0,0205196549446733","8,52952925068962E-06","-5,77787031922888E-22","3,54132563846202E-20","1,06743834501377E-05","-1,03900638216363E-08","2,36373305241899E-06",0,0,0,0,0,0,package://modulessai/meshes/Slide_key_joint_single1.STL,"0,501960784313725","0,266666666666667","0,568627450980392",1,0,0,0,0,0,0,package://modulessai/meshes/Slide_key_joint_single1.STL,,EPS_Serpens_FinalAssembly_SingleParts.stp-2/EPS_Serpens_Slide Key_Joint_single part02A.stp-1,Origin_link15,Axis_link15,link15,fixed,"-0,037000000000001","-0,00399999999999981",0,"1,3049499870484","-1,57079631189374","0,265634018818777",slide_key,0,0,0,,,,,,,,,,,,
